Midi_NoteNum,Octave
0,C0
12,C1
24,C2
36,C3
48,C4
60,C5
72,C6
84,C7
96,C8
108,C9
120,C10
1,C#0
13,C#1
25,C#2
37,C#3
49,C#4
61,C#5
73,C#6
85,C#7
97,C#8
109,C#9
121,C#10
2,D0
14,D1
26,D2
38,D3
50,D4
62,D5
74,D6
86,D7
98,D8
110,D9
122,D10
3,D#0
15,D#1
27,D#2
39,D#3
51,D#4
63,D#5
75,D#6
87,D#7
99,D#8
111,D#9
123,D#10
4,E0
16,E1
28,E2
40,E3
52,E4
64,E5
76,E6
88,E7
100,E8
112,E9
124,E10
5,F0
17,F1
29,F2
41,F3
53,F4
65,F5
77,F6
89,F7
101,F8
113,F9
125,F10
6,F#0
18,F#1
30,F#2
42,F#3
54,F#4
66,F#5
78,F#6
90,F#7
102,F#8
114,F#9
126,F#10
7,G0
19,G1
31,G2
43,G3
55,G4
67,G5
79,G6
91,G7
103,G8
115,G9
127,G10
8,G#0
20,G#1
32,G#2
44,G#3
56,G#4
68,G#5
80,G#6
92,G#7
104,G#8
116,G#9
9,A0
21,A1
33,A2
45,A3
57,A4
69,A5
81,A6
93,A7
105,A8
117,A9
10,A#0
22,A#1
34,A#2
46,A#3
58,A#4
70,A#5
82,A#6
94,A#7
106,A#8
118,A#9
11,B0
23,B1
35,B2
47,B3
59,B4
71,B5
83,B6
95,B7
107,B8
119,B9
