ProgramID,Type_10,Instrument_10
35,Percussion Track 10,Bass Drum 2
36,Percussion Track 10,Bass Drum 1
37,Percussion Track 10,Side Stick (Rimshot)
38,Percussion Track 10,Snare Drum 1
39,Percussion Track 10,Hand Clap
40,Percussion Track 10,Snare Drum 2
41,Percussion Track 10,Low Tom 2
42,Percussion Track 10,Closed Hi-hat
43,Percussion Track 10,Low Tom 1
44,Percussion Track 10,Pedal Hi-hat
45,Percussion Track 10,Mid Tom 2
46,Percussion Track 10,Open Hi-hat
47,Percussion Track 10,Mid Tom 1
48,Percussion Track 10,High Tom 2
49,Percussion Track 10,Crash Cymbal 1
50,Percussion Track 10,High Tom 1
51,Percussion Track 10,Ride Cymbal 1
52,Percussion Track 10,Chinese Cymbal
53,Percussion Track 10,Ride Bell
54,Percussion Track 10,Tambourine
55,Percussion Track 10,Splash Cymbal
56,Percussion Track 10,Cowbell
57,Percussion Track 10,Crash Cymbal 2
58,Percussion Track 10,Vibra Slap
59,Percussion Track 10,Ride Cymbal 2
60,Percussion Track 10,High Bongo
61,Percussion Track 10,Low Bongo
62,Percussion Track 10,Mute High Conga
63,Percussion Track 10,Open High Conga
64,Percussion Track 10,Low Conga
65,Percussion Track 10,High Timbale
66,Percussion Track 10,Low Timbale
67,Percussion Track 10,High AgogÈ
68,Percussion Track 10,Low AgogÈ
69,Percussion Track 10,Cabasa
70,Percussion Track 10,Maracas
71,Percussion Track 10,Short Whistle
72,Percussion Track 10,Long Whistle
73,Percussion Track 10,Short G™iro
74,Percussion Track 10,Long G™iro
75,Percussion Track 10,Claves
76,Percussion Track 10,High Wood Block
77,Percussion Track 10,Low Wood Block
78,Percussion Track 10,Mute Cuêca
79,Percussion Track 10,Open Cuêca
80,Percussion Track 10,Mute Triangle
81,Percussion Track 10,Open Triangle
